MsgID.LOCAL_POSITION,1520864177.5155101,0.0466497,-0.0328818,-3.5659728
MsgID.LOCAL_VELOCITY,1520864177.5155101,0.3897620,-0.0017947,1.5107269
MsgID.GLOBAL_POSITION,1520864177.7644720,-122.3957516,37.7932837,3.1300000
MsgID.LOCAL_VELOCITY,1520864177.7644720,1.3100000,0.0000000,1.9900000
MsgID.LOCAL_POSITION,1520864177.7646720,0.2465476,0.0247153,-3.1300595
MsgID.LOCAL_VELOCITY,1520864177.7646720,1.3150392,0.0007573,1.9962190
MsgID.STATE,1520864178.0101590,True,True
MsgID.GLOBAL_HOME,1520864178.0104041,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1520864178.0144849,-122.3957522,37.7932902,2.7880000
MsgID.LOCAL_VELOCITY,1520864178.0144849,3.4200000,0.0000000,0.3200000
MsgID.LOCAL_POSITION,1520864178.0147080,0.9681666,-0.0229994,-2.7879500
MsgID.LOCAL_VELOCITY,1520864178.0147080,3.4255228,-0.0047478,0.3220737
MsgID.GLOBAL_POSITION,1520864178.2641358,-122.3957512,37.7932997,2.8570000
MsgID.LOCAL_VELOCITY,1520864178.2641358,5.1800000,0.0000000,-1.0200000
MsgID.LOCAL_POSITION,1520864178.2643421,2.0226686,0.0585947,-2.8573906
MsgID.LOCAL_VELOCITY,1520864178.2643421,5.1811275,-0.0052894,-1.0293756
MsgID.GLOBAL_POSITION,1520864178.5144091,-122.3957525,37.7933116,3.0300000
MsgID.LOCAL_VELOCITY,1520864178.5144091,5.8800000,-0.0100000,-0.3400000
MsgID.LOCAL_POSITION,1520864178.5146089,3.3428168,-0.0512391,-3.0302429
MsgID.LOCAL_VELOCITY,1520864178.5146089,5.8813572,-0.0166278,-0.3381336
MsgID.GLOBAL_POSITION,1520864178.7662420,-122.3957526,37.7933244,2.9900000
MsgID.LOCAL_VELOCITY,1520864178.7662420,6.5000000,0.0000000,0.1500000
MsgID.LOCAL_POSITION,1520864178.7664700,4.7614851,-0.0651365,-2.9905243
MsgID.LOCAL_VELOCITY,1520864178.7664700,6.5055928,0.0054801,0.1546997
MsgID.STATE,1520864179.0084229,True,True
MsgID.GLOBAL_HOME,1520864179.0106611,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1520864179.0149271,-122.3957500,37.7933405,2.9490000
MsgID.LOCAL_VELOCITY,1520864179.0149271,7.5200000,0.0100000,-0.1700000
MsgID.LOCAL_POSITION,1520864179.0151329,6.5599189,0.1664521,-2.9497643
MsgID.LOCAL_VELOCITY,1520864179.0151329,7.5252414,0.0144941,-0.1759975
MsgID.GLOBAL_POSITION,1520864179.2648730,-122.3957524,37.7933561,2.9780000
MsgID.LOCAL_VELOCITY,1520864179.2648730,7.0500000,-0.1000000,-0.1700000
MsgID.LOCAL_POSITION,1520864179.2650800,8.2918606,-0.0478450,-2.9784458
MsgID.LOCAL_VELOCITY,1520864179.2650800,7.0587263,-0.1016019,-0.1776624
MsgID.GLOBAL_POSITION,1520864179.5148211,-122.3957536,37.7933718,2.9940000
MsgID.LOCAL_VELOCITY,1520864179.5148211,5.1400000,-0.0400000,-0.0200000
MsgID.LOCAL_POSITION,1520864179.5150039,10.0358372,-0.1527015,-2.9949484
MsgID.LOCAL_VELOCITY,1520864179.5150039,5.1487875,-0.0457750,-0.0224219
MsgID.GLOBAL_POSITION,1520864179.7650850,-122.3957531,37.7933825,2.9810000
MsgID.LOCAL_VELOCITY,1520864179.7650850,3.8400000,0.4300000,0.0400000
